"","GloboLakes_ID","LakeName","Latitude","Longitude","Country","Type","Elevation","LakeSize","Group","OverallAvg","OverallMeanAmp"
"1",2,"SUPERIOR",47.72,-88.23,"Canada; United States","Lake",184,4094,4,6.09556948313565,14.6538160778222
"2",3,"VICTORIA",-1.3,33.23,"Tanzania; Uganda;  Kenya","Lake",1140,2313,6,25.137561847936,1.56120625814576
"3",4,"ARAL Sea",45.13,60.08,"Kazakhstan; Uzbekistan","Lake",42,1535,9,11.108757198987,26.7233217690447
"4",5,"HURON",44.78,-82.21,"Canada; United States","Lake",176,2763,5,8.34891981066509,19.2827215490971
"5",6,"MICHIGAN",43.86,-87.09,"United States","Lake",176,2710,9,9.4230286411305,19.2593062696208
"6",7,"TANGANYIKA",-6.07,29.46,"DR Congo; Tanzania;  Zambia;  Burundi","Lake",837,1148,6,26.3590096631842,2.22520617386386
"7",8,"BAYKAL/BAIKAL",53.63,108.14,"Russia","Lake",450,1871,4,3.86462010600942,13.2071645978885
"8",9,"GREAT BEAR Lake",65.91,-121.3,"Canada","Lake",157,2590,4,1.29020018390083,6.45791623253283
"9",10,"MALAWI/NYASA/NIASSA",-11.96,34.59,"Malawi; Mozambique;  Tanzania","Lake",485,1048,6,26.4111854438207,4.67255609719865
"10",11,"GREAT SLAVE Lake",62.09,-114.37,"Canada","Lake",158,1992,4,3.2092983795298,13.7836018833127
"11",12,"ERIE",42.25,-81.16,"Canada; United States","Lake",174,1191,9,10.5600651229578,23.4103165256172
"12",13,"WINNIPEG",52.12,-97.25,"Canada","Lake",217,1401,5,5.83272575184495,19.9460105469491
"13",14,"CHAD",13.45,14.19,"Chad; Nigeria; Niger; Cameroon","Lake",279,58,3,25.9825326277384,9.43434905155272
"14",15,"ONTARIO",43.85,-77.77,"Canada; United States","Lake",75,877,9,10.0891154226946,20.2334638057214
"15",16,"LADOGA",60.84,31.39,"Russia","Lake",11,1182,5,5.73901169185886,17.2262356544864
"16",17,"BALQASH",45.91,73.95,"Kazakhstan","Lake",329,962,9,8.59540236244741,23.7866896414868
"17",18,"ONEGA",61.9,35.35,"Russia","Lake",56,690,5,5.38115983894635,17.0718889547011
"18",20,"TITICACA",-15.92,-69.3,"Peru; Bolivia","Lake",3827,285,8,13.7711569167861,3.12087606470638
"19",21,"NICARAGUA/COCIBOLCA/GRANADA",11.57,-85.36,"Nicaragua","Lake",31,281,3,27.8347393706816,3.30621000219718
"20",22,"TURKANA",3.53,36.08,"Kenya; Ethiopia","Lake",438,263,3,27.3422739920305,2.37925411516369
"21",23,"ATHABASCA",59.1,-109.96,"Canada","Lake",212,524,4,3.94844282583955,16.127182577683
"22",24,"VOLTA, Lake",7.63,0.11,"Ghana","Reservoir",89,246,3,29.4806845506832,1.90084886988404
"23",26,"GREAT SALT Lake",41.2,-112.5,"United States","Lake",1275,261,9,12.5086439950358,25.6129052767588
"24",28,"REINDEER Lake",57.19,-102.27,"Canada","Lake",337,310,4,3.63267900605972,15.3711162026825
"25",29,"VÄNERN",58.88,13.22,"Sweden","Lake",45,350,5,7.61235532909824,17.6680688335683
"26",30,"ALBERT",1.67,30.91,"Uganda; DR Congo","Lake",629,190,3,27.7380704180081,1.12766199022914
"27",31,"WINNIPEGOSIS",52.37,-100.05,"Canada","Lake",252,328,5,6.22485048155032,21.2773152313764
"28",33,"KUYBYSHEVSKOYE",54.54,48.65,"Russia","Reservoir",56,307,5,7.60386946627269,23.6141667599341
"29",34,"URMIA",37.64,45.49,"Iran","Lake",1271,283,1,15.4672696214226,23.568800660273
"30",35,"KARIBA, Lake",-17.23,27.6,"Zimbabwe; Zambia","Reservoir",468,166,6,26.273360163243,6.45099653697382
"31",36,"MWERU",-9.01,28.74,"Zambia; DR Congo","Lake",949,186,6,25.1852545350042,5.13684197427221
"32",37,"MANITOBA",50.99,-98.8,"Canada","Lake",247,295,5,6.64568948122137,22.0158414391595
"33",38,"NIPIGON",49.8,-88.55,"Canada","Lake",283,250,5,5.9461323480276,18.0423478210873
"34",39,"BRATSKOYE Reservoir",54.85,103.07,"Russia","Reservoir",399,237,5,5.38919051762537,20.0207514026542
"35",41,"QINGHAI",36.89,100.18,"China","Lake",3176,194,5,6.3852336828864,16.1314613995217
"36",42,"CAHORA  BASSA, Lake",-15.73,31.63,"Mozambique; Zimbabwe","Reservoir",420,102,6,25.873160541477,7.06326838797187
"37",43,"TAYMYR",74.48,100.76,"Russia","Lake",24,627,4,0.809532702651418,9.66139004269186
"38",44,"WOODS, lake of the",49.38,-94.91,"Canada; United States","Lake",326,156,5,7.28257650968011,22.1188541851947
"39",45,"KHANKA Lake",44.94,132.42,"Russia; China","Lake",64,209,9,8.00641479409126,24.2154427739518
"40",46,"MIRIM",-32.89,-53.25,"Brazil; Uruguay","Lagoon",10,178,8,18.7195767656643,12.6392344539144
"41",47,"RYBINKSKOYE Reservoir",58.49,38.13,"Russia","Reservoir",108,257,5,6.5464410286752,21.431970208129
"42",48,"NASSER, Lake",22.86,32.58,"Egypt; Sudan","Reservoir",192,186,2,24.3115948547671,11.4777350319876
"43",50,"Peipus/Peipsi",58.41,27.59,"Russia; Estonia","Lake",29,234,5,7.16437223058886,20.8971436429038
"44",51,"VAN",38.66,42.98,"Turkey","Lake",1638,168,1,13.0577941894532,19.2473293398251
"45",53,"UVS Lake",50.33,92.81,"Mongolia; Russia","Lake",752,203,5,6.73351988557588,21.5097808876693
"46",55,"TANA",11.95,37.31,"Ethiopia","Lake",1786,116,6,22.8276051583602,2.55750084721866
"47",57,"CEDAR Lake",53.33,-100.14,"Canada","Reservoir",256,167,5,5.89155444773854,20.9504767838118
"48",59,"KHUVSGUL Lake",51.02,100.48,"Mongolia","Lake",1640,160,4,2.96447413618702,11.3572290140881
"49",61,"VOLGOGRADSKOYE",50.35,45.85,"Russia","Reservoir",19,169,9,8.66661782437409,23.102221855512
"50",62,"ILIAMNA Lake",59.56,-154.9,"United States","Lake",35,185,4,4.04409497666972,12.2131310332322
"51",64,"TONLÉ SAP Lake",12.81,104.15,"Cambodia","Lake",4,105,3,30.0846754984641,5.73037855580023
"52",66,"TAIHU Lake",31.21,120.24,"China","Lake",2,115,1,17.5642697434929,25.5432148170997
"53",67,"KIVU",-2.04,29.23,"DR Congo; Rwanda","Lake",1500,88,6,24.0135374136307,1.31667599515019
"54",68,"WOLLASTON Lake",58.3,-103.33,"Canada","Lake",396,116,4,3.33702180490055,14.8174170532372
"55",69,"EDWARD/ÉDOUARD",-0.39,29.61,"DR Congo; Uganda","Lake",781,78,6,26.1884075068949,1.03750545632017
"56",71,"TSIMLYANSKOYE Reservoir",48.05,42.98,"Russia","Reservoir",28,133,9,10.2440237470792,24.8539137439101
"57",72,"SOUTHERN INDIAN Lake",57.14,-98.61,"Canada","Reservoir",259,169,4,3.72488308344548,15.8547033367793
"58",73,"ZZZZ",-2.88,-55.14,"Brazil","Lake",23,100,3,30.1607769836733,1.00609564135467
"59",75,"HULUN Lake",48.97,117.38,"China","Lake",539,109,5,6.59468175996442,23.3430395164218
"60",77,"THERTHAR Lake",34.11,43.17,"Iraq","Reservoir",48,74,2,21.3437215833808,16.4088169162777
"61",78,"POYANG Lake",29.25,116.06,"China","Lake",3,104,2,21.0021999033253,20.0053988306483
"62",79,"KAKHOVS'KE Reservoir",47.27,33.95,"Ukraine","Reservoir",11,128,9,11.0860442832817,25.2269813840673
"63",81,"BANGWEULU",-11.19,29.76,"Zambia","Lake",1170,81,6,23.213697224526,6.99638158969814
"64",84,"CHIQUITA",-30.74,-62.61,"Argentina","Lake",66,213,8,19.6482914603536,14.8270162742683
"65",86,"RUKWA",-7.84,32.16,"Tanzania","Lake",757,219,6,25.5607414360622,5.4973884982312
"66",87,"KREMENCHUK/KREMENCHUTS'KE Reservoir",49.28,32.62,"Ukraine","Reservoir",78,112,9,10.107663619602,24.1908261357372
"67",88,"ZEYSKOYE",54.26,127.8,"Russia","Reservoir",271,126,4,4.6818333321526,19.5022758672486
"68",90,"MAI-NDOMBE",-2.14,18.32,"DR Congo","Lake",335,95,3,29.8046192878456,2.91026392352456
"69",91,"NAM Lake",30.71,90.66,"China","Lake",4704,91,4,4.46155794529497,11.5176315839836
"70",92,"CHANY",54.83,77.39,"Russia","Lake",93,90,5,6.28047199299569,22.6545878813778
"71",93,"KRASNOYARSKOYE",54.84,90.94,"Russia","Reservoir",217,99,5,6.2152058152768,21.1691491435807
"72",94,"GENERAL CARRERA/BUENOS AIRES",-46.66,-72.5,"Chile; Argentina","Lake",451,109,7,9.98477835343715,4.7891436906679
"73",95,"Vättern",58.33,14.57,"Sweden","Lake",91,129,5,7.71875084874411,17.2333027093414
"74",99,"KYOGA",1.5,33.01,"Uganda","Lake",1043,65,3,26.6390286852967,1.51489134776135
"75",100,"la MARTRE",63.33,-117.91,"Canada","Lake",265,140,4,3.32980269174278,16.3106233252329
"76",102,"UST-ILIMSKOYE",57.15,102.32,"Russia","Reservoir",284,84,4,4.39288612738263,18.2669669312197
"77",103,"WILLISTON Lake",55.95,-123.91,"Canada","Reservoir",684,89,5,5.44944404286729,17.3719243858784
"78",104,"KAMSKOYE/KAMA Reservoir",58.8,56.26,"Russia","Reservoir",111,97,5,5.7112011467181,21.2960356284008
"79",105,"SILING",31.77,88.95,"China","Lake",4557,82,5,5.5254791312276,13.8921452434644
"80",106,"BROKOPONDO",4.72,-55.07,"Suriname","Reservoir",46,32,3,29.9458261921179,1.66435085460228
"81",109,"HUNG-TSE Lake",33.34,118.53,"China","Lake",3,82,1,16.1225903688364,26.8100901532932
"82",110,"SAKAKAWEA",47.81,-102.32,"United States","Reservoir",571,80,5,7.75722846817138,22.40989619152
"83",111,"SAIMAA",61.39,28.2,"Finland","Reservoir",79,63,5,6.34803174446041,19.8518591718323
"84",112,"KHANTAYSKOYE VODOKHRANILISHCHE",67.96,87.75,"Russia","Reservoir",50,232,4,2.06996687065686,13.675424585164
"85",113,"SARATOVSKOYE",52.74,48.36,"Russia","Reservoir",35,73,9,8.08948799003248,22.8136104542549
"86",114,"OKEECHOBEE",26.95,-80.86,"United States","Lake",4,53,2,25.0648106253927,13.4517930262131
"87",116,"KAINJI Reservoir",10.43,4.56,"Nigeria","Reservoir",96,42,3,28.5254409560008,5.00195980846439
"88",117,"ARGENTINO Lake",-50.33,-73.03,"Argentina","Lake",225,66,7,7.74945270787535,6.12148964169038
"89",119,"MWERU WANTIPA",-8.71,29.72,"Zambia","Lake",945,52,6,26.7493218196697,5.4319220793989
"90",120,"TENGIZ",50.44,68.9,"Kazakhstan","Lake",297,75,9,7.62307260799411,22.9308121400138
"91",121,"KHYARGAS Lake",49.13,93.3,"Mongolia","Lake",1027,86,5,6.98522180509933,19.9018693415476
"92",125,"CLAIRE",58.59,-112.08,"Canada","Lake",212,99,5,4.76459384864734,20.4504045740745
"93",127,"la RONGE",55.11,-104.83,"Canada","Lake",371,76,5,5.60168725860811,18.9227063618988
"94",132,"de RINCÓN DEL BONETE",-32.7,-55.93,"Uruguay","Reservoir",56,45,8,18.6825229050527,12.8387945753184
"95",133,"POOPÓ Lake",-18.81,-67.06,"Bolivia","Lake",3679,71,8,12.3053506362379,9.28720353310521
"96",134,"ZZZZ",-2.16,-52.2,"Brazil","Lake",8,62,3,30.3545164482079,0.75941660153895
"97",135,"SEVAN Lake",40.39,45.29,"Armenia","Lake",1876,66,9,10.1101631702748,19.5731639202312
"98",136,"VYGOZERO",63.54,34.84,"Russia","Lake",74,97,5,4.93742350626241,18.0556055520563
"99",137,"CREE Lake",57.47,-106.64,"Canada","Lake",484,72,4,4.0387355813043,16.9344048275799
"100",142,"KHAR-US Lake",48.06,92.3,"Mongolia","Lake",1191,60,5,7.19855588910484,22.5930920812619
"101",145,"BECHAROF Lake",57.85,-156.4,"United States","Lake",22,82,4,3.17658392433851,9.29631841300874
"102",146,"SAINT CLAIR",42.5,-82.73,"Canada; United States","Lake",174,58,9,10.1475925734638,23.6596934920141
"103",147,"LESSER SLAVE Lake",55.43,-115.49,"Canada","Lake",604,86,5,5.66942439174578,18.8691957768996
"104",149,"ESKIMO Lakes",69.1,-132.76,"Canada","Lake",4,178,4,1.86076218179541,11.7233415139129
"105",150,"TOBA",2.61,98.9,"Indonesia","Lake",898,46,3,26.5431985059576,1.00748587684976
"106",151,"RED Lake (Upper & Lower)",48.04,-95.08,"United States","Lake",358,69,5,7.68306480192242,22.6353225962112
"107",153,"de CHAPALA",20.21,-103.05,"Mexico","Lake",1573,35,2,21.7326790047651,6.9866305869143
"108",154,"GURI, Embalse de",7.2,-62.83,"Venezuela","Reservoir",329,111,3,27.7475187522084,2.31826899562443
"109",156,"EYASI",-3.58,35.04,"Tanzania","Lake",1023,38,6,23.3886038928775,5.66154294246498
"110",157,"Päijänne",61.71,25.49,"Finland","Lake",95,56,5,6.17476163468675,19.0077695366141
"111",158,"SAINT JEAN",48.66,-72.02,"Canada","Reservoir",97,60,5,6.91432822930039,20.6687020562504
"112",160,"BELOYE",60.18,37.64,"Russia","Lake",122,89,5,6.0180462500545,20.9059371104119
"113",163,"MÄLAREN",59.44,16.19,"Sweden","Lake",18,81,9,7.72200384904132,20.7276390893701
"114",165,"CHAMPLAIN",44.45,-73.27,"United States; Canada","Lake",35,71,9,9.31584901047541,22.5175933311171
"115",166,"ABAYA Lake",6.3,37.83,"Ethiopia","Lake",1249,48,6,25.3831777448032,2.71747966979463
"116",167,"O'HIGGINS/SAN MARTÍN Lake",-48.75,-72.84,"Chile; Argentina","Lake",330,87,7,7.52550628508758,3.93445669109371
"117",171,"VIEDMA Lake",-49.59,-72.56,"Argentina","Lake",297,78,7,7.72576462635447,5.64069915594235
"118",172,"GOD'S Lake",54.62,-94.21,"Canada","Lake",181,71,4,4.66941139557083,17.8855499056103
"119",173,"RAZAZZA",32.78,43.66,"Iraq","Reservoir",36,66,2,21.6874573980744,18.8358618555489
"120",176,"MANAGUA",12.32,-86.35,"Nicaragua","Lake",56,45,3,28.0904381833485,3.79014135246828
"121",179,"ZHARI NAMCO",30.9,85.61,"China","Lake",4743,43,5,5.62691576449827,14.0406934139862
"122",181,"BOSTEN Lake",41.98,87.07,"China","Lake",1062,52,9,11.5379313834915,25.0635935916067
"123",186,"KUMSKOYE VODOKHRANILISHCHE",65.62,32.09,"Russia","Lake",112,90,4,3.95989161055916,15.2994651674695
"124",187,"ORIVESI, PYHÄSELKÄ",62.35,29.59,"Finland","Lake",79,72,5,5.70248473764963,19.3963481439196
"125",192,"ILMEN",58.3,31.3,"Russia","Reservoir",15,90,5,7.22831147090905,21.9681829026552
"126",193,"GORKY Reservoir",57.11,43.13,"Russia","Reservoir",87,61,5,7.33235129827772,23.5752375140958
"127",194,"SALTON, Sea",33.3,-115.83,"United States","Lake",-74,45,2,23.1667003842455,16.8661842785263
"128",195,"PIELINEN",63.16,29.71,"Finland","Lake",113,73,5,4.82394893013217,19.0091276504994
"129",198,"NIPISSING",46.24,-79.92,"Canada","Lake",212,44,9,8.32659559044681,22.639553238222
"130",200,"ABITIBI",48.76,-79.59,"Canada","Reservoir",276,65,5,6.52190901882559,21.5628165951383
"131",201,"FORT PECK Lake",47.68,-107.29,"United States","Reservoir",693,47,9,8.25712040431538,20.9970008996827
"132",202,"OULUJÄRVI",64.35,27.7,"Finland","Reservoir",128,80,5,5.05491724074127,19.3109723009152
"133",205,"de BAY",14.36,121.26,"Philippines","Lake",12,42,3,29.4195392091071,4.84905202974768
"134",209,"LLANQUIHUE Lake",-41.14,-72.79,"Chile","Lake",56,44,8,13.5426321671836,6.18734840391157
"135",210,"ALEXANDRINA",-35.52,139.09,"Australia","Lagoon",20,38,8,16.3252724038896,10.7418063895923
"136",213,"PLAYGREEN Lake",54.07,-97.75,"Canada","Lake",217,65,5,5.53473269023733,19.2913385896794
"137",215,"TANGRA YUMCO",31.05,86.59,"China","Lake",4649,36,4,5.19685198413757,12.9838689256174
"138",219,"COLHUÉ HUAPI",-45.47,-68.76,"Argentina","Lake",251,50,7,8.41647636020487,17.8805611588526
"139",220,"EZEQUIEL RAMOS MEJÍA, Embalse",-39.46,-69.01,"Argentina","Reservoir",393,40,8,13.5214539647702,12.2154672135332
"140",222,"PETER POND Lake",55.84,-108.55,"Canada","Lake",423,58,5,5.47518282126532,19.1888959270201
"141",225,"SOUTH MOOSE Lake",53.83,-100.04,"Canada","Lake",256,47,5,5.82073166460545,20.3004494811086
"142",228,"SEGOZERSKOYE",63.32,33.76,"Russia","Lake",129,63,4,4.7681621235061,16.7157134931664
"143",231,"MANGUEIRA",-33.16,-52.84,"Brazil","Lagoon",8,48,8,18.5413984289122,12.163705955733
"144",233,"CHAOHU Lake",31.57,117.57,"China","Lake",1,41,1,18.0671124022211,26.0325951571052
"145",236,"SIMCOE",44.47,-79.42,"Canada","Lake",233,36,9,9.14060081757691,22.5167708175287
"146",237,"VOTKINSK Reservoir",57.22,55.01,"Russia","Reservoir",94,62,5,6.88986436240865,23.256930681567
"147",239,"ULUNGUR Lake",47.22,87.3,"China","Lake",452,51,9,8.41831550966783,22.874620468337
"148",240,"PYASINO",69.77,87.78,"Russia","Lake",17,90,4,1.80076547199941,15.2404248971821
"149",241,"SARYGAMYSH Lake",41.88,57.61,"Turkmenistan","Lake",-12,182,1,13.4017988920389,26.9851263409147
"150",242,"KOVDOZERO",66.68,31.99,"Russia","Reservoir",40,49,4,3.99666661443608,16.8988104174318
"151",243,"TOLEDO BEND Reservoir",31.55,-93.81,"United States","Reservoir",48,34,2,21.2419416264674,19.657053044531
"152",244,"DEAD, Sea",31.52,35.49,"Jordan; West Bank;  Israel","Lake",-404,27,3,27.20487327384,11.329616364548
"153",245,"IZABAL",15.57,-89.11,"Guatemala","Lagoon",47,27,3,28.624607596086,4.71892351083044
"154",249,"HIRAKUD Reservoir",21.64,83.77,"India","Reservoir",190,24,3,27.8044668533096,8.99522304559326
"155",250,"PROLETARSKOYE",46.26,42.98,"Russia","Lake",15,30,9,11.4743913785271,25.7456210344626
"156",255,"TUMBA",-0.82,17.98,"DR Congo","Lake",338,30,3,29.8934620152767,2.86304385099148
"157",256,"CHILWA",-15.32,35.71,"Malawi","Lake",629,40,6,24.921723056199,8.04583845950388
"158",262,"KULUNDINSKOYE",52.98,79.58,"Russia","Lake",92,39,5,6.96907381860232,23.8920349208912
"159",265,"CAXIUANA",-2.04,-51.5,"Brazil","Lake",1,17,3,30.2321960909284,0.803057089141514
"160",267,"BEYSEHIR",37.78,31.52,"Turkey","Lake",1148,32,1,13.7069397279366,22.0685015463775
"161",268,"BIWA Lake",35.25,136.08,"Japan","Lake",69,33,1,16.9409827917665,19.6219872097596
"162",271,"SELETYTENIZ",53.23,73.18,"Kazakhstan","Lake",66,35,9,7.70802044790311,24.6574336378198
"163",273,"PYAOZERO",66.07,30.98,"Russia","Lake",118,80,4,3.91377231290215,15.9459834920815
"164",277,"de COARI",-4.25,-63.37,"Brazil","Lake",40,32,3,30.9261766289947,2.01130852666097
"165",279,"AL ASSAD Lake",36.07,38.1,"Syria","Reservoir",293,32,1,18.7487726566181,16.1650574411049
"166",281,"DORÉ Lake",54.76,-107.28,"Canada","Lake",459,42,5,5.67553862615365,19.532739293049
"167",287,"GAOYOU Lake",32.87,119.31,"China","Lake",1,37,1,16.4037742729763,27.2592855414178
"168",291,"BEI'ER Lake",47.81,117.69,"Mongolia; China","Lake",597,36,5,6.93097088527368,23.3650856785504
"169",294,"KHAR Lake",48.05,93.21,"Mongolia","Lake",1160,32,5,7.31782245199483,22.8204018309669
"170",295,"TAUPO",-38.81,175.9,"New Zealand","Lake",395,29,8,14.7412674793646,8.50961556975925
"171",296,"SHARDARA Reservoir",41.15,68.17,"Kazakhstan; Uzbekistan","Reservoir",236,42,1,15.0802916430969,25.4096715038561
"172",299,"BUFFALO Lake",60.22,-115.49,"Canada","Lake",264,47,5,4.4166364032181,19.7428435523726
"173",300,"ELING/NGORING Lake",34.93,97.71,"China","Lake",4240,31,4,4.12046456981776,12.720900491971
"174",301,"CROSS Lake",54.99,-97.81,"Canada","Reservoir",187,41,5,5.18788034458507,19.4540348622506
"175",302,"HALA Lake",38.31,97.59,"China","Lake",4239,29,4,2.86732329257039,11.3213660720469
"176",303,"NORTH MOOSE Lake",54.05,-100.16,"Canada","Lake",257,46,5,5.69244530575614,20.6652362289983
"177",304,"FAGNANO/CAMI Lake",-54.55,-68.03,"Argentina; Chile","Lake",169,50,7,6.81844704786141,5.09962898335973
"178",306,"LAGDO",8.88,13.97,"Cameroon","Reservoir",209,27,3,28.397574373945,3.50162536992889
"179",310,"BALATON",46.88,17.83,"Hungary","Lake",126,41,9,11.6822599888776,24.5343380402469
"180",311,"ATLIN Lake",59.57,-133.75,"Canada","Lake",704,53,4,2.98266759821718,12.0892233301166
"181",312,"AYAKKUM Lake",37.55,89.35,"China","Lake",4161,35,5,4.73124258989099,13.8894752118743
"182",314,"UPEMBA",-8.65,26.4,"DR Congo","Lake",586,27,3,27.3487464022997,4.28694660143372
"183",316,"TATHLINA Lake",60.54,-117.64,"Canada","Lake",277,46,5,4.50457779547353,19.5281697024535
"184",322,"NATRON",-2.34,36.02,"Tanzania; Kenya","Lake",583,32,3,30.9837719634551,3.9319086963787
"185",323,"CHURCHILL Lake",55.96,-108.29,"Canada","Lake",423,34,5,5.48229854512767,19.6320641820217
"186",325,"KWANIA",1.72,32.65,"Uganda","Lake",1043,25,3,26.7171538386513,1.36042523634558
"187",326,"DESCHAMBAULT Lake",54.78,-103.45,"Canada","Lake",329,31,5,5.79765702870704,20.063522378646
"188",327,"Geneva/Léman",46.37,6.25,"Switzerland; France","Lake",466,32,1,13.3748676089187,15.84935759146
"189",328,"MINGACEVIR Reservoir",40.93,46.79,"Azerbaijan","Reservoir",78,31,1,16.7677509096999,19.6614411130622
"190",332,"TOWUTI",-2.79,121.52,"Indonesia","Lake",230,23,3,29.6783256645779,1.65133908038117
"191",333,"BLACK Lake",59.05,-105.73,"Canada","Lake",277,33,4,4.09422213567627,16.6813624754449
"192",336,"GYARING/ZHALING Lake",34.92,97.27,"China","Lake",4256,24,4,4.348739451949,13.185630396408
"193",337,"STEPHENS Lake",56.42,-95.07,"Canada","Reservoir",105,27,4,4.37063385942674,18.7933799890682
"194",339,"HAZEN",81.8,-70.94,"Canada","Lake",182,177,4,0.0483467549335221,0.801750352647575
"195",340,"WINNEBAGO",44.02,-88.42,"United States","Lake",229,30,9,9.78849988616878,24.4712440520924
"196",343,"NAHUEL HUAPI Lake",-40.92,-71.52,"Argentina","Lake",810,25,7,11.1645832464324,6.48260026803636
"197",344,"KRASNOYE",64.53,174.44,"Russia","Lake",2,42,4,2.77295300556702,16.2740401535913
"198",350,"MALHEUR Lake",43.34,-118.83,"United States","Lake",1242,17,9,9.00278455724734,23.406784471682
"199",351,"DAUPHIN Lake",51.27,-99.77,"Canada","Lake",259,34,5,6.75289915048631,22.3035665656287
"200",352,"Constance/Bodensee",47.65,9.28,"Germany; Switzerland;  Austria","Lake",431,34,9,12.3736332572286,17.9257855456064
"201",354,"NGANGLA RINGCO",31.53,83.09,"China","Lake",4863,27,4,4.23897107810929,12.5944476176678
"202",356,"SANDY Lake",53,-93.03,"Canada","Lake",282,41,5,5.10268256954293,20.5621068658137
"203",358,"RAZIM Lake",44.83,28.97,"Romania","Lagoon",1,35,9,12.175137193488,25.529346685975
"204",360,"JURUMIRIM Reservoir",-23.34,-48.69,"Brazil","Reservoir",558,16,6,22.5548443358149,6.94027355787945
"205",361,"DNIPRODZERZHYNS'KE Reservoir",48.77,34.17,"Ukraine","Reservoir",63,32,9,9.99494437278691,24.3994353866824
"206",362,"SAM RAYBURN, Lake",31.26,-94.36,"United States","Reservoir",45,17,2,21.5968108364087,18.6546599923728
"207",363,"GRANVILLE Lake",56.4,-100.21,"Canada","Lake",259,24,5,5.33003641260097,20.8212415549298
"208",366,"MILLE LACS Lake",46.24,-93.65,"United States","Lake",381,29,9,8.4767651715166,23.08699856705
"209",367,"TROUT Lake",60.58,-121.13,"Canada","Lake",494,41,4,4.17826976630404,16.8423442570087
"210",375,"FLATHEAD Lake",47.89,-114.18,"United States","Reservoir",975,26,9,9.5592869257364,19.9122871096427
"211",376,"LOKKA Reservoir",67.97,27.77,"Finland","Reservoir",259,33,4,3.91281532623617,16.6886883154768
"212",377,"NAKNEK, NORTH ARM NAKNEK Lake",58.64,-155.67,"United States","Lake",39,18,4,4.24794778120596,15.6973234830889
"213",379,"CERROS COLORADOS Complex",-38.58,-68.73,"Argentina","Reservoir",414,31,8,14.63883775874,10.3715917142253
"214",380,"TAHOE",39.09,-120.04,"United States","Lake",1996,26,9,11.4658740173034,14.2239692806962
"215",382,"QYARING Lake",31.13,88.32,"China","Lake",4640,22,4,5.1182021584991,12.9006472694906
"216",383,"TARO Lake",31.13,84.12,"China","Lake",4573,22,4,5.08050608663196,12.7447327105195
"217",387,"HJÄLMAREN",59.23,15.86,"Sweden","Lake",31,35,9,7.85557308127232,20.3531052586012
"218",390,"EGIRDIR",38.07,30.85,"Turkey","Lake",946,26,1,14.3059787769414,20.7709089914521
"219",391,"ILE-A-LA-CROSSE",55.56,-107.75,"Canada","Lake",421,27,5,5.60080198520371,20.5891818781627
"220",393,"STORSJÖN",63.09,14.41,"Sweden","Lake",302,29,5,4.92843802995708,15.7809869086644
"221",399,"GRAND Lake",49.01,-57.35,"Canada","Reservoir",145,22,5,6.11829318095505,16.7266696021528
"222",400,"des BOIS",66.82,-125.15,"Canada","Lake",299,43,4,2.321523554631,13.5417960571057
"223",403,"MARKAKOL",48.75,85.77,"Kazakhstan","Lake",1522,29,5,5.41660546485136,19.5208728743241
"224",405,"MONTREAL Lake",54.32,-105.69,"Canada","Lake",498,32,5,5.89479087866623,20.3668130756628
"225",408,"HAMMAR",30.76,47.04,"Iraq","Lake",4,24,2,22.8367270771583,14.8478299785269
"226",409,"PRIMROSE Lake",54.89,-109.79,"Canada","Lake",603,33,5,5.85291689386617,20.156749022998
"227",410,"SYVASH Lake",45.44,35.24,"Ukraine","Lagoon",1,39,9,12.1386332673383,25.5939900924543
"228",411,"PYRAMID Lake",40.03,-119.55,"United States","Lake",1161,26,1,14.2608646718701,16.2710607806833
"229",415,"NAM NGUM",18.61,102.66,"Laos","Reservoir",221,10,3,27.9293273772427,5.95436016877555
"230",416,"RANCO Lake",-40.23,-72.48,"Chile","Lake",83,24,8,14.1845940364666,8.31094161870623
"231",420,"MILLS Lake",61.43,-118.15,"Canada","Lake",148,27,4,4.32508782342779,18.0871481157403
"232",423,"SAINT PIERRE/SAINT PETER Lake",46.15,-72.9,"Canada","Lake",2,20,9,9.05595547144716,22.6182354844063
"233",426,"COLVILLE Lake",67.19,-125.99,"Canada","Lake",293,43,4,2.69728553099429,14.5939291195432
"234",427,"VOZHE",60.57,39.1,"Russia","Lake",123,34,5,5.87729784872916,21.452679236052
"235",430,"FABER Lake",63.95,-117.25,"Canada","Lake",213,36,4,3.62680880336926,16.0590846116163
"236",434,"KUBENSKOYE",59.64,39.45,"Russia","Lake",106,36,5,6.19807318311189,22.0327534377479
"237",436,"KYIVS'KE Reservoir",50.82,30.48,"Ukraine","Reservoir",93,32,9,9.50992390360717,24.2730911008331
"238",439,"MAPAM YUMCO",30.67,81.49,"China","Lake",4568,21,4,5.05416959197406,12.280602493676
"239",442,"GOVIND BALLABH PANT Reservoir",24.07,82.84,"India","Reservoir",244,17,3,26.9017506048309,10.4804310709053
"240",443,"CARDIEL Lake",-48.9,-71.26,"Argentina","Lake",499,24,7,8.43184684101664,9.01754228941378
"241",444,"NGANGZE Lake",31.01,87.14,"China","Lake",4731,23,5,5.43079253034597,14.4526968697762
"242",445,"ZIWAY Lake",7.98,38.84,"Ethiopia","Lake",1643,19,6,22.0918280366678,3.37997417373787
