"","GloboLakes_ID","LakeName","Latitude","Longitude","Country","Type","Elevation","LakeSize","Group","OverallAvg","OverallMeanAmp"
"556",1666,"ZZZZ",67.69,-131.79,"Canada","Lake",157,15,4,2.89733222057023,15.9938301301012
"557",1676,"EGG Lake",55.06,-105.56,"Canada","Lake",379,10,5,6.17750502421528,21.6094346152033
"558",1703,"KISTIGAN Lake",54.6,-92.66,"Canada","Lake",192,6,5,4.93652411998896,19.9156046750685
"559",1706,"ROCKY Lake",54.12,-101.48,"Canada","Lake",261,8,5,6.09044386199942,20.6752595668421
"560",1714,"POYGAN",44.12,-88.87,"United States","Lake",229,10,9,10.0321580815647,27.2627052274838
"561",1734,"OMUK-KYUEL'",71.01,147.16,"Russia","Lake",9,22,4,1.43704235970642,15.8065269682026
"562",1735,"MALARTIC",48.34,-78.11,"Canada","Lake",304,6,5,6.59709303529624,23.0077917843476
"563",1740,"MARFIL",-15.52,-60.24,"Bolivia; Brazil","Lake",247,4,3,28.8676688342838,5.22488607867135
"564",1745,"SKILAK Lake",60.44,-150.4,"United States","Lake",73,8,4,2.57011963116379,11.5915468942902
"565",1748,"ALMANOR",40.26,-121.19,"United States","Lake",1403,9,9,10.4649151398371,22.728386493012
"566",1752,"PARANAPITINGA, POCÃO GRANDE, Lago do",-2.11,-55.63,"Brazil","Lake",23,7,3,30.6985487741442,1.44876702120783
"567",1756,"GREAT SACANDAGA Lake",43.2,-74.1,"United States","Reservoir",252,4,9,9.38006377345492,24.1161897822726
"568",1761,"CASCADE",44.63,-116.1,"United States","Reservoir",1526,6,5,7.99416571318141,22.8251709588473
"569",1771,"RWERU",-2.39,30.32,"Burundi; Rwanda","Lake",1373,6,6,25.0881922276176,2.83394920352106
"570",1774,"KABELE",-8.94,25.97,"DR Congo","Lake",607,8,3,27.6954862048279,5.23093030532051
"571",1787,"BOLSHOYE EROVNOYE",52.62,111.49,"Russia","Lake",954,9,5,4.55928577448279,20.1316416441532
"572",1793,"SHALKAR-EGAKARA",50.75,60.89,"Russia","Lake",304,6,5,7.38105308312815,23.7916944059666
"573",1801,"KABWE",-9.16,26.02,"DR Congo","Lake",586,5,3,27.6908890153895,5.57049783834444
"574",1802,"SAN PEDRO",-31.37,-60.47,"Argentina","Lake",9,12,6,21.0159502192359,12.9299913607475
"575",1815,"LITTLE SACHIGO Lake",54.15,-92.11,"Canada","Lake",226,9,5,5.04577569889906,20.3676229061465
"576",1818,"MANITOU",45.78,-81.99,"Canada","Lake",226,6,9,8.44758616772557,21.9110514192107
"577",1831,"GLAFSFJORDEN",59.52,12.7,"Sweden","Lake",64,9,5,7.63511032617494,22.2929404358852
"578",1832,"NORTH WABASCA Lake",56.04,-113.91,"Canada","Lake",550,9,5,6.10995357084293,21.1123527116259
